date,open,high,low,close
2020-12-31 14:32:00.000,1.363210,1.363480,1.363140,1.363480
2020-12-31 14:33:00.000,1.363480,1.363770,1.363240,1.363330
2020-12-31 14:34:00.000,1.363330,1.363420,1.363280,1.363290
2020-12-31 14:35:00.000,1.363290,1.363670,1.363290,1.363640
2020-12-31 14:36:00.000,1.363640,1.363800,1.363520,1.363690
2020-12-31 14:37:00.000,1.363680,1.363680,1.363490,1.363520
2020-12-31 14:38:00.000,1.363530,1.363750,1.363530,1.363710
2020-12-31 14:39:00.000,1.363760,1.363760,1.363490,1.363540
2020-12-31 14:40:00.000,1.363540,1.363540,1.362960,1.363050
2020-12-31 14:41:00.000,1.363230,1.363610,1.363190,1.363600
2020-12-31 14:42:00.000,1.363640,1.363660,1.363390,1.363480
2020-12-31 14:43:00.000,1.363480,1.363600,1.363360,1.363590
2020-12-31 14:44:00.000,1.363590,1.363590,1.363320,1.363320
2020-12-31 14:45:00.000,1.363350,1.363530,1.363250,1.363480
2020-12-31 14:46:00.000,1.363480,1.363630,1.363380,1.363520
2020-12-31 14:47:00.000,1.363530,1.363630,1.363520,1.363590
2020-12-31 14:48:00.000,1.363590,1.363660,1.363560,1.363650
2020-12-31 14:49:00.000,1.363640,1.363830,1.363580,1.363630
2020-12-31 14:50:00.000,1.363650,1.364080,1.363650,1.364080
2020-12-31 14:51:00.000,1.364080,1.364080,1.363790,1.363970
2020-12-31 14:52:00.000,1.363990,1.364570,1.363990,1.364570
2020-12-31 14:53:00.000,1.364550,1.364550,1.364040,1.364300
2020-12-31 14:54:00.000,1.364310,1.364420,1.364010,1.364080
2020-12-31 14:55:00.000,1.364030,1.364250,1.364030,1.364140
2020-12-31 14:56:00.000,1.364140,1.364340,1.364140,1.364340
2020-12-31 14:57:00.000,1.364410,1.364850,1.364340,1.364850
2020-12-31 14:58:00.000,1.364850,1.365120,1.364760,1.365120
2020-12-31 14:59:00.000,1.365130,1.365240,1.364970,1.365030
2020-12-31 15:00:00.000,1.365040,1.365140,1.364910,1.365140
2020-12-31 15:01:00.000,1.365140,1.365170,1.365050,1.365130
2020-12-31 15:02:00.000,1.365170,1.365270,1.365020,1.365180
2020-12-31 15:03:00.000,1.365200,1.365320,1.365200,1.365220
2020-12-31 15:04:00.000,1.365200,1.365310,1.364690,1.364820
2020-12-31 15:05:00.000,1.364850,1.365160,1.364850,1.365130
2020-12-31 15:06:00.000,1.365190,1.365290,1.365190,1.365200
2020-12-31 15:07:00.000,1.365210,1.365550,1.365210,1.365380
2020-12-31 15:08:00.000,1.365380,1.365830,1.365380,1.365710
2020-12-31 15:09:00.000,1.365690,1.365730,1.365150,1.365300
2020-12-31 15:10:00.000,1.365310,1.365540,1.365310,1.365540
2020-12-31 15:11:00.000,1.365550,1.365740,1.365550,1.365740
2020-12-31 15:12:00.000,1.365740,1.365740,1.365530,1.365550
2020-12-31 15:13:00.000,1.365640,1.365760,1.365550,1.365610
2020-12-31 15:14:00.000,1.365620,1.365640,1.365240,1.365340
2020-12-31 15:15:00.000,1.365390,1.365500,1.365290,1.365470
2020-12-31 15:16:00.000,1.365500,1.365620,1.365260,1.365340
2020-12-31 15:17:00.000,1.365340,1.365840,1.365230,1.365840
2020-12-31 15:18:00.000,1.365840,1.365840,1.365560,1.365620
2020-12-31 15:19:00.000,1.365610,1.365760,1.365590,1.365730
2020-12-31 15:20:00.000,1.365730,1.365780,1.365680,1.365750
2020-12-31 15:21:00.000,1.365740,1.365940,1.365680,1.365710
2020-12-31 15:22:00.000,1.365720,1.365800,1.365670,1.365730
2020-12-31 15:23:00.000,1.365730,1.365810,1.365180,1.365220
2020-12-31 15:24:00.000,1.365290,1.365340,1.364620,1.364690
2020-12-31 15:25:00.000,1.364720,1.365040,1.364720,1.365040
2020-12-31 15:26:00.000,1.365110,1.365220,1.365110,1.365170
2020-12-31 15:27:00.000,1.365140,1.365230,1.364970,1.365170
2020-12-31 15:28:00.000,1.365220,1.365440,1.365220,1.365330
2020-12-31 15:29:00.000,1.365360,1.365380,1.364970,1.365020
2020-12-31 15:30:00.000,1.364980,1.365100,1.364810,1.365060
2020-12-31 15:31:00.000,1.365060,1.365160,1.364740,1.364790
2020-12-31 15:32:00.000,1.364780,1.364810,1.364300,1.364300
2020-12-31 15:33:00.000,1.364290,1.364540,1.364230,1.364300
2020-12-31 15:34:00.000,1.364290,1.364400,1.364050,1.364100
2020-12-31 15:35:00.000,1.364090,1.364510,1.364090,1.364330
2020-12-31 15:36:00.000,1.364300,1.364480,1.364270,1.364440
2020-12-31 15:37:00.000,1.364430,1.364520,1.364410,1.364410
2020-12-31 15:38:00.000,1.364400,1.364410,1.363980,1.364330
2020-12-31 15:39:00.000,1.364320,1.364410,1.364230,1.364400
2020-12-31 15:40:00.000,1.364410,1.364580,1.364400,1.364580
2020-12-31 15:41:00.000,1.364570,1.364580,1.364410,1.364480
2020-12-31 15:42:00.000,1.364490,1.364530,1.364460,1.364510
2020-12-31 15:43:00.000,1.364540,1.364840,1.364540,1.364810
2020-12-31 15:44:00.000,1.364830,1.365020,1.364810,1.365020
2020-12-31 15:45:00.000,1.365100,1.365790,1.365080,1.365790
2020-12-31 15:46:00.000,1.365810,1.366140,1.365730,1.365860
2020-12-31 15:47:00.000,1.365850,1.366130,1.365710,1.365880
2020-12-31 15:48:00.000,1.365930,1.366000,1.365790,1.365880
2020-12-31 15:49:00.000,1.365870,1.366340,1.365810,1.366300
2020-12-31 15:50:00.000,1.366340,1.366550,1.366120,1.366150
2020-12-31 15:51:00.000,1.366150,1.366150,1.366020,1.366030
2020-12-31 15:52:00.000,1.366020,1.366150,1.365910,1.366110
2020-12-31 15:53:00.000,1.366110,1.366110,1.365630,1.365630
2020-12-31 15:54:00.000,1.365630,1.365690,1.365480,1.365610
2020-12-31 15:55:00.000,1.365620,1.365730,1.365520,1.365730
2020-12-31 15:56:00.000,1.365700,1.365880,1.365580,1.365880
2020-12-31 15:57:00.000,1.365930,1.366120,1.365780,1.365980
2020-12-31 15:58:00.000,1.366020,1.366090,1.365940,1.365970
2020-12-31 15:59:00.000,1.365960,1.365960,1.365730,1.365830
2020-12-31 16:00:00.000,1.365980,1.366000,1.365820,1.366000
2020-12-31 16:01:00.000,1.365980,1.366000,1.365900,1.365950
2020-12-31 16:02:00.000,1.365980,1.366110,1.365940,1.365940
2020-12-31 16:03:00.000,1.365930,1.366090,1.365930,1.365990
2020-12-31 16:04:00.000,1.366020,1.366040,1.365740,1.365870
2020-12-31 16:05:00.000,1.365880,1.365910,1.365740,1.365780
2020-12-31 16:06:00.000,1.365780,1.365930,1.365780,1.365920
2020-12-31 16:07:00.000,1.365930,1.366440,1.365930,1.366370
2020-12-31 16:08:00.000,1.366360,1.366710,1.366360,1.366460
2020-12-31 16:09:00.000,1.366420,1.366470,1.366140,1.366190
2020-12-31 16:10:00.000,1.366220,1.366220,1.365790,1.365850
2020-12-31 16:11:00.000,1.365860,1.366120,1.365830,1.365830
2020-12-31 16:12:00.000,1.365820,1.366630,1.365800,1.366620
2020-12-31 16:13:00.000,1.366640,1.367130,1.366640,1.366910
2020-12-31 16:14:00.000,1.366900,1.367130,1.366690,1.366690
2020-12-31 16:15:00.000,1.366700,1.366810,1.366610,1.366610
2020-12-31 16:16:00.000,1.366590,1.366640,1.366400,1.366610
2020-12-31 16:17:00.000,1.366570,1.366630,1.366320,1.366430
2020-12-31 16:18:00.000,1.366420,1.367120,1.366420,1.367100
2020-12-31 16:19:00.000,1.367120,1.367340,1.367000,1.367250
2020-12-31 16:20:00.000,1.367260,1.367420,1.367110,1.367390
2020-12-31 16:21:00.000,1.367390,1.367410,1.366890,1.366920
2020-12-31 16:22:00.000,1.366890,1.367210,1.366760,1.366870
2020-12-31 16:23:00.000,1.366910,1.366910,1.366710,1.366850
2020-12-31 16:24:00.000,1.366860,1.367040,1.366720,1.366790
2020-12-31 16:25:00.000,1.366800,1.367100,1.366730,1.366780
2020-12-31 16:26:00.000,1.366720,1.366740,1.366080,1.366080
2020-12-31 16:27:00.000,1.366080,1.366320,1.365890,1.366030
2020-12-31 16:28:00.000,1.366080,1.366080,1.365610,1.365650
2020-12-31 16:29:00.000,1.365640,1.365660,1.365360,1.365430
2020-12-31 16:30:00.000,1.365490,1.365680,1.365410,1.365480
2020-12-31 16:31:00.000,1.365490,1.365490,1.365370,1.365380
2020-12-31 16:32:00.000,1.365390,1.365420,1.365340,1.365360
2020-12-31 16:33:00.000,1.365350,1.365680,1.365300,1.365620
2020-12-31 16:34:00.000,1.365620,1.365620,1.364720,1.364730
2020-12-31 16:35:00.000,1.364720,1.365720,1.364720,1.365330
2020-12-31 16:36:00.000,1.365330,1.365490,1.365060,1.365400
2020-12-31 16:37:00.000,1.365280,1.365310,1.364900,1.364960
2020-12-31 16:38:00.000,1.364940,1.365010,1.364630,1.364660
2020-12-31 16:39:00.000,1.364710,1.365060,1.364570,1.364740
2020-12-31 16:40:00.000,1.364750,1.365030,1.364710,1.364910
2020-12-31 16:41:00.000,1.364940,1.365000,1.364330,1.364330
2020-12-31 16:42:00.000,1.364310,1.364320,1.363580,1.363580
2020-12-31 16:43:00.000,1.363620,1.363700,1.363180,1.363530
2020-12-31 16:44:00.000,1.363530,1.363880,1.363430,1.363830
2020-12-31 16:45:00.000,1.363810,1.363980,1.363410,1.363440
2020-12-31 16:46:00.000,1.363430,1.363950,1.363360,1.363900
2020-12-31 16:47:00.000,1.363890,1.363920,1.363570,1.363850
2020-12-31 16:48:00.000,1.363840,1.364060,1.363640,1.363750
2020-12-31 16:49:00.000,1.363780,1.363880,1.363130,1.363130
2020-12-31 16:50:00.000,1.363130,1.364470,1.363030,1.364300
2020-12-31 16:51:00.000,1.364350,1.364840,1.364350,1.364660
2020-12-31 16:52:00.000,1.364540,1.364850,1.364510,1.364720
2020-12-31 16:53:00.000,1.364860,1.364990,1.364220,1.364580
2020-12-31 16:54:00.000,1.364570,1.364800,1.364240,1.364240
2020-12-31 16:55:00.000,1.364250,1.364830,1.364190,1.364670
2020-12-31 16:56:00.000,1.364630,1.365150,1.364170,1.365150
2020-12-31 16:57:00.000,1.365190,1.366450,1.365190,1.366410
2020-12-31 16:58:00.000,1.366390,1.366890,1.366380,1.366880
2020-12-31 16:59:00.000,1.366840,1.367430,1.366660,1.367100
2020-12-31 17:00:00.000,1.367080,1.367100,1.366290,1.366840
2020-12-31 17:01:00.000,1.366840,1.367590,1.366790,1.367410
2020-12-31 17:02:00.000,1.367400,1.367620,1.366490,1.366490
2020-12-31 17:03:00.000,1.366460,1.366770,1.365910,1.366240
2020-12-31 17:04:00.000,1.366230,1.366290,1.365950,1.366280
2020-12-31 17:05:00.000,1.366270,1.366560,1.365950,1.366330
2020-12-31 17:06:00.000,1.366370,1.366670,1.366280,1.366650
2020-12-31 17:07:00.000,1.366570,1.366580,1.366350,1.366430
2020-12-31 17:08:00.000,1.366510,1.366590,1.365980,1.366170
2020-12-31 17:09:00.000,1.366170,1.366660,1.365990,1.366480
2020-12-31 17:10:00.000,1.366470,1.366640,1.366020,1.366640
2020-12-31 17:11:00.000,1.366700,1.366810,1.366380,1.366550
2020-12-31 17:12:00.000,1.366430,1.366430,1.366050,1.366110
2020-12-31 17:13:00.000,1.366090,1.366120,1.365830,1.366020
2020-12-31 17:14:00.000,1.366000,1.366030,1.365910,1.365910
